"BatterHand","BattedBallType","Location","Result","ExpOBP","ExpSLG","Exp2OPS","ExpOBP_sd","ExpSLG_sd","Exp2OPS_sd","ExpOBP_n","ExpSLG_n","Exp2OPS_n"
"L","BT","5","1B",0.236343213151342,0.590858032878354,0.330880498411878,0,0.305117776174765,0.101705925391588,4,4,4
"L","BT","5","SACBUNT",0.244854509614505,0.734563528843516,0.383605398396058,NA,NA,NA,1,1,1
"L","FB","4","FO",0.024412488093701,0.0652413170008244,0.0355808489200387,0.00467148356717046,0.0445982665407726,0.017466598985249,4,4,4
"L","FB","6","FO",0.0608813901680275,0.165470640191523,0.0896563344923898,0.0374128559873883,0.162955202104434,0.0740341511250091,7,7,7
"L","FB","7","FIDP",0.0555131779088201,0.0555131779088201,0.0499618601179381,NA,NA,NA,1,1,1
"L","FB","7","FO",0.167404956675791,0.42734577274581,0.237311399698218,0.167327124873946,0.477413549678966,0.2454879727241,171,171,171
"L","FB","7","PO",0.0747376820032795,0.270618398376097,0.132557485927224,0.0656270786830652,0.302576279558561,0.138047437773257,2,2,2
"L","FB","7","PO-F",0.0451216918080941,0.0862452395404138,0.0543173718713913,0.00995495610665736,0.0397099423871495,0.012605256648518,3,3,3
"L","FB","78","FO",0.120681492768605,0.287631694610037,0.164263410772222,0.113462708190273,0.279474203502052,0.146459682142356,21,21,21
"L","FB","8","FIDP",0.0113132384306695,0.0395963345073434,0.0196096132798272,0,0.00799966761150669,0.00266655587050223,2,2,2
"L","FB","8","FO",0.163160177446005,0.385279863582843,0.220884055080351,0.165414558521794,0.440364006799246,0.231654735234422,190,190,190
"L","FB","8","PO",0.0272823733130654,0.0777361655898962,0.0413720667407025,0.00956831268752482,0.0259131837200833,0.012802082054669,3,3,3
"L","FB","89","FO",0.174147946956355,0.403183743141193,0.233078417655666,0.186118623309467,0.546429265796531,0.276479739540171,15,15,15
"L","FB","9","FO",0.312933029478798,0.685986959180825,0.405991036431594,0.276395180588781,0.688706241673175,0.363567296454502,95,95,95
