"FullName","TARAbbrev","TMAbbrev","PlayByPlayStyle","URL","ScheduleStyle","TeamWithNickname"
"RobertMorris(IL)","RM4","","","",NA,""
"RochesterCollege","RO3","","","",NA,""
"Roosevelt","RO4","","","",NA,""
"Rutgers","RUT","","","",NA,NA
"","RUT","","","",NA,"RutgersScarletKnights"
"StAnselm","SA2","","","",NA,""
"SanFrancisco","SAF","","","",NA,""
"SanFrancisco</a>","SAF","","","",NA,""
"","SAF","","","",NA,"SanFranciscoDons"
"Samford","SAM","","","",NA,NA
"SouthAlabama","SAU","SAL_JAG","","",NA,NA
"SouthernAlabama","SAU","SAL_JAG","","",NA,NA
"SouthAla","SAU","SAL_JAG","","",NA,""
"SouthBendCubs","SB+","","","",NA,NA
"SouthBendCubs","SB+","","","",NA,NA
"StonyBrook","SBU","","","",NA,NA
"","SBU","","","",NA,"StonyBrookSeawolves"
"USciences","SC2","","","",NA,""
"SantaClara","SCU","","","",NA,NA
"SantaClara","SCU","","","",NA,NA
"SCWUpstate","UPS","","","",NA,NA
"USC-Upstate","UPS","","","",NA,NA
"SantaClara</a>","SCU","","","",NA,""
"SouthernCalifornia","SCW","SOU_TRO","","",NA,NA
"USC","SCW","SOU_TRO","","",NA,NA
"","SCW","SOU_TRO","","",NA,"SouthernCaliforniaTrojans"
"Shepherd","SD2","","","",NA,""
"SouthDakotaSt","SDK","","","",NA,""
"SanDiegoSt.","SDS","","","",NA,NA
"SanDiegoState","SDS","","","",NA,NA
"SanDiegoState","SDS","","","",NA,NA
"SOUTHDAKOTAST.","SDK","","","",NA,NA
"SOUTHDAKOTASTATE","SDK","","","",NA,NA
"SanDiegoSt","SDS","","","",NA,NA
"","SDS","","","",NA,"SanDiegoStAztecs"
"SanDiego","SDU","","","",NA,NA
"SanDiego/a>","SDU","","","",NA,""
"StEdward's","SE2","","","",NA,""
"SeattleU","SEA","","","",NA,""
"SoutheastMoSt","SEM","SOU_RED","","",NA,""
"SFA","SFA","","","",NA,""
"SanFranSt","FC2","","","",NA,""
"Stonehill","SH2","","","",NA,""
"SacredHeart","SHE","","","",NA,NA
"SamHoustonSt","SHS","","","",NA,""
"SetonHall","SHU","SET_PIR","","",NA,NA
"","SHU","","","",NA,"SetonHallPirates"
"Sienna","SIE","","","",NA,NA
"Siena","SIE","","","",NA,""
"SouthernIllinois","SIU","","","",NA,NA
"SouthernIll","SIU","","","",NA,""
"St.Joseph's","SJO","","","",NA,NA
"","SJO","","","",NA,"SaintJoseph&#x27;sHawks"
"SanJoseState","SJS","","","",NA,NA
"SanJoseSt","SJS","","","",NA,""
"SoutheasternLa","SLA","","","",NA,""
"","SLA","","","",NA,"SoutheasternLaLions"
"SaintLouis","SLU","SLU_BIL","","",NA,NA
"SaintMichael's","SM2","","","",NA,""
"StMary(KS)","SM4","","","",NA,""
"SouthernMiss.","SMI","","","",NA,NA
"SouthernMiss.","SMI","","","",NA,NA
"SouthernMiss","SMI","","","",NA,""
"SaintMary's(CA)","SMY","","","",NA,""
"","SMY","","","",NA,"SaintMary's"
"SouthernNH","SN2","","","",NA,""
"SouthernUniversity","SOU","SOU_JAG","","",NA,NA
"SouthernUniversity","SOU","SOU_JAG","","",NA,NA
"SouthernU","SOU","SOU_JAG","","",NA,""
"SouthernUs","SOU","SOU_JAG","","",NA,""
"","SPU","","","",NA,"SaintPeter'sPeacocks"
"SaintPeter's","SPU","","","",NA,NA
